Model,mAP@50,mAP@50-95,mAP@75,Precision,Recall,FPS,Inference (ms),Total Detections,Avg Det/Image,Version,Size
yolo12l,0.668879422508187,0.26943405120540886,0.15591576776116356,0.7932036446888573,0.5601213760830622,23.583360912971006,42.40277726700071,804899,183.68302145139205,yolo12,l
yolo12m,0.664773282211615,0.26855482845994005,0.157737094205398,0.7931123018171794,0.5585002592810999,32.627934627291886,30.64858414800005,836798,190.96257416704702,yolo12,m
yolo12m,0.664773282211615,0.26855482845994005,0.157737094205398,0.7931123018171794,0.5585002592810999,32.75191090415159,30.53256962399837,836798,190.96257416704702,yolo12,m
yolo12n,0.6089049488493786,0.24579623979733203,0.1421050079405451,0.764184027924006,0.5138376046503126,58.74631353370901,17.022344720000067,1215582,277.4034687357371,yolo12,n
yolo12s,0.6415829784020015,0.2570735510024475,0.14717800562472227,0.7918964497995392,0.532405341044206,51.68232380073811,19.34897517099876,991417,226.2476038338658,yolo12,s
