Model,mAP@50,mAP@50-95,mAP@75,Precision,Recall,FPS,Inference (ms),Total Detections,Avg Det/Image,Version,Size
Yolov8l,0.6630209903368787,0.26677355766178645,0.15471326857670428,0.774599520755931,0.5712712624281848,23.70626442361886,42.1829429610043,898226,204.9808306709265,yolov8,l
Yolov8m,0.6562064629566909,0.26291550844458433,0.15101130960098957,0.7679813859789889,0.573589565527074,36.07028403116608,27.723651943964796,1068171,243.7633500684619,yolov8,m
Yolov8n,0.6065071748803998,0.24242900093911174,0.13940926674287415,0.7387673323101696,0.5265601579351442,95.84699614313718,10.433295149976402,1282062,292.5746234596075,yolov8,n
Yolov8s,0.6299384200476359,0.25009869815247865,0.1426564649502775,0.7457434842886113,0.5607794391840017,66.24729690262804,15.094955519012728,1202335,274.38041989958924,yolov8,s
Yolov8x,0.669519233233681,0.27188089837893675,0.16035020988418927,0.7783980653809763,0.575565941883292,15.858791958140843,63.05650535296081,855057,195.129392971246,yolov8,x
