Model,mAP@50,mAP@50-95,mAP@75,Precision,Recall,FPS,Inference (ms),Total Detections,Avg Det/Image,Version,Size
yolo11l,0.6651269538619218,0.2678498219065991,0.1557750708341946,0.7834012477075264,0.5632911685223566,34.711440823391236,28.808945301000676,879938,200.8073938840712,yolo11,l
yolo11m,0.6560403461296024,0.26355441796975254,0.15155482751114271,0.7802150131895711,0.556319233722078,42.47157459100352,23.545159548000928,940592,214.64901871291647,yolo11,m
yolo11n,0.602868592728622,0.24327656240055937,0.1416750504325121,0.7488965125173875,0.517201038277337,83.87861824197793,11.92198942900015,1260269,287.60132359653124,yolo11,n
yolo11s,0.6319746015878593,0.2518864704530394,0.1437297910685167,0.7624559024862775,0.5477676362784513,77.46194021301197,12.909565616999883,1168177,266.5853491556367,yolo11,s
yolo11x,0.6702079406090782,0.2700367707279545,0.1581210861436879,0.7837374225961254,0.5674697473768874,18.693666681487205,53.49405320200367,769661,175.64148790506619,yolo11,x
