Model,mAP@50,mAP@50-95,mAP@75,Precision,Recall,FPS,Inference (ms),Total Detections,Avg Det/Image,Version,Size
yolov10l,0.64578988113165,0.26307213181352035,0.15273495160336822,0.7612017952396659,0.550986868942608,28.042852111372834,35.65971093198641,917107,209.28959379278868,yolov10,l
yolov10m,0.6340734010355666,0.2583931676097773,0.15201494741660507,0.7587846420810797,0.5352612144920118,42.83550430513026,23.34512027398341,1008680,230.18712916476494,yolov10,m
yolov10n,0.5678174105964986,0.23813527386272085,0.14699939219205427,0.7179806483501603,0.4773770793260835,94.83684335344336,10.544425190040783,1260161,287.5766773162939,yolov10,n
yolov10s,0.6024069366515954,0.2463973409652759,0.142901011340723,0.7312831068696557,0.5063795561729975,76.62872222237608,13.049937034027607,1162660,265.3263350068462,yolov10,s
yolov10x,0.6484545851090341,0.26258751502187283,0.15177540535682255,0.7544415692661637,0.5556581714598382,20.257701419667672,49.363942101996145,902094,205.86353263350068,yolov10,x
