target,series,experiment,checkpoint,epoch,step,mAP,Rank-1,Rank-5,Rank-10,status,source
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_009_step_05566,9,5566,81.8,86.5,91.9,93.9,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_019_step_11134,19,11134,82.2,84.9,92.3,93.7,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_029_step_16701,29,16701,82.8,85.5,92.6,94.7,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_039_step_22270,39,22270,83.9,86.6,92.5,94.3,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_049_step_27833,49,27833,83.3,86.2,92.5,93.9,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_059_step_33396,59,33396,83.9,87.7,92.7,94.3,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_069_step_38962,69,38962,84.7,87.7,93.2,95.3,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_079_step_44521,79,44521,84.6,86.9,92.6,95.0,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_089_step_50084,89,50084,85.3,88.0,93.3,94.3,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_099_step_55641,99,55641,85.8,87.9,93.2,94.4,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_109_step_61202,109,61202,85.9,89.3,93.4,95.6,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_119_step_66761,119,66761,85.4,87.2,93.6,95.3,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_129_step_72328,129,72328,85.2,86.9,93.2,94.6,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_139_step_77890,139,77890,85.7,88.0,93.3,95.4,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_149_step_83456,149,83456,85.5,88.3,93.3,95.0,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_159_step_89021,159,89021,85.6,88.6,93.0,94.6,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_169_step_94588,169,94588,85.3,87.5,93.4,95.3,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_179_step_100150,179,100150,84.6,87.6,93.6,95.0,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_189_step_105716,189,105716,84.6,87.6,93.3,94.0,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_199_step_111283,199,111283,84.3,86.9,92.5,94.4,passed,experiments/reid/duke+syntetic/evaluation_results_swin_working_lowbatch/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_009_step_29073,9,29073,31.8,54.7,69.7,75.6,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_019_step_58078,19,58078,35.7,58.7,73.8,78.8,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_029_step_87117,29,87117,37.6,61.5,76.9,81.8,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_039_step_116118,39,116118,39.3,63.5,77.9,83.2,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_049_step_145132,49,145132,40.6,64.8,79.5,83.7,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_059_step_174216,59,174216,41.7,66.1,79.9,84.2,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_069_step_203291,69,203291,42.9,67.1,80.9,84.4,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_079_step_232299,79,232299,43.5,67.2,80.8,84.7,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_089_step_261419,89,261419,44.4,68.2,81.6,85.3,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_099_step_290419,99,290419,45.0,68.2,82.0,85.4,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_109_step_319465,109,319465,45.7,69.4,82.3,85.9,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_119_step_348594,119,348594,46.2,70.2,81.8,86.1,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_009_step_29073,9,29073,37.7,51.4,69.4,75.8,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_019_step_58078,19,58078,42.5,56.7,75.1,80.2,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_029_step_87117,29,87117,44.7,59.5,77.4,82.2,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_039_step_116118,39,116118,46.9,61.7,78.5,83.8,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_049_step_145132,49,145132,48.5,63.0,79.9,84.3,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_059_step_174216,59,174216,49.7,64.8,81.2,85.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_069_step_203291,69,203291,51.2,66.2,82.8,85.5,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_079_step_232299,79,232299,52.1,67.1,83.2,86.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_089_step_261419,89,261419,53.1,68.5,83.6,87.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_099_step_290419,99,290419,53.8,68.7,84.2,87.3,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_109_step_319465,109,319465,54.8,69.9,84.5,87.9,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_119_step_348594,119,348594,55.4,71.2,84.2,88.6,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_009_step_29073,9,29073,20.2,54.6,67.3,73.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_019_step_58078,19,58078,22.0,56.8,69.2,74.4,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
